mouse_id	n_cells	RNA_activation	ADT_activation	treatment	time_hours	checkpoint_blockade
Masopust_053_1a:A0307	763	0.010310838920901566	-0.2790294636395121	baseline	0	False
Masopust_053_1a:A0308	47	-0.022606692771718895	-0.11825638109812278	baseline	0	False
Masopust_053_1a:A0310	159	0.13270306201896287	-0.09181353029015718	relevant_peptide	12	False
Masopust_053_1a:A0311	50	0.06253266534721008	-0.09191654585705769	relevant_peptide	12	False
Masopust_053_1a:A0312	108	0.32644403041011155	0.03500591888387315	relevant_peptide	12	False
Masopust_053_1b:A0307	709	-0.01501414577166238	-0.21452813000975138	baseline	0	False
Masopust_053_1b:A0310	144	0.02965789422242332	-0.09207753389885294	relevant_peptide	12	False
Masopust_053_1b:A0311	51	0.06562132648747376	-0.14187718591655402	relevant_peptide	12	False
Masopust_053_1b:A0312	86	0.14177757841770094	0.14295546856925645	relevant_peptide	12	False
Masopust_053_2a:A0307	1146	-0.10117954286662012	-0.049413513414875834	relevant_peptide	48	False
Masopust_053_2a:A0308	795	-0.03870863095678467	-0.05431375962392182	relevant_peptide	48	False
Masopust_053_2a:A0309	328	0.017426001303123717	-0.059438186406224426	relevant_peptide	48	False
Masopust_053_2a:A0310	170	-0.02383462092792149	-0.0605559389858768	irrelevant_peptide	12	False
Masopust_053_2a:A0312	91	0.003861958209914307	-0.14965060951085032	irrelevant_peptide	12	False
Masopust_053_2b:A0307	1083	-0.05348816821069435	0.07347804666968798	relevant_peptide	48	False
Masopust_053_2b:A0308	758	-0.059980696665518196	0.06664014472090438	relevant_peptide	48	False
Masopust_053_2b:A0309	347	-0.017641629654951863	0.09380062322216835	relevant_peptide	48	False
Masopust_053_2b:A0310	147	-0.09764182308707581	0.13721876118597257	irrelevant_peptide	12	False
Masopust_053_2b:A0312	80	0.12469907071855335	-0.11157621058383906	irrelevant_peptide	12	False
Masopust_053_3a:A0307	71	-0.1541568553808964	0.04194840557842325	irrelevant_peptide	48	False
Masopust_053_3a:A0308	304	0.049054019070333854	-0.033202781215881105	irrelevant_peptide	48	False
Masopust_053_3a:A0309	75	0.09338506267528335	0.04364422794621481	irrelevant_peptide	48	False
Masopust_053_3a:A0310	273	-0.04051801086676243	0.27872520371479953	relevant_peptide	12	True
Masopust_053_3a:A0311	286	0.15380921526388686	0.1748408407237964	relevant_peptide	12	True
Masopust_053_3b:A0307	61	-0.19262704289320742	0.04915319820639545	irrelevant_peptide	48	False
Masopust_053_3b:A0308	261	0.08591555826591724	-0.07527909106256933	irrelevant_peptide	48	False
Masopust_053_3b:A0309	61	0.03590231170557967	-0.017588224564269072	irrelevant_peptide	48	False
Masopust_053_3b:A0310	261	-0.039139526600789565	0.21222588247305288	relevant_peptide	12	True
Masopust_053_3b:A0311	230	0.12362972720704893	0.05434420189546009	relevant_peptide	12	True
Masopust_053_6a:A0308	3139	-0.05240787713214612	-0.022747704524644252	innate_agonist	48	True
Masopust_053_6b:A0308	3182	-0.07667243938253382	-0.10881545840618226	innate_agonist	48	True
Masopust_054_A:A0311	79	0.22721693347198801	0.041986391678867974	relevant_peptide	12	True
Masopust_054_A:A0312	1778	0.28199031118190654	-0.030883220375391297	relevant_peptide	12	True
Masopust_054_B:A0311	1428	0.06432875178077002	-0.0885744992798013	relevant_peptide	48	True
Masopust_054_B:A0312	559	-0.03429116058831261	0.07743439885389476	relevant_peptide	48	True
Masopust_054_C:A0311	264	0.0662315702498561	-0.38418852525236646	irrelevant_peptide	12	True
Masopust_054_C:A0312	112	0.23992624632035842	-0.39689620916793916	irrelevant_peptide	12	True
Masopust_054_C:A0313	1547	0.07726817317683288	-0.3715865413247379	irrelevant_peptide	12	True
Masopust_054_D:A0311	904	0.10149095407640091	-0.40986178595943124	irrelevant_peptide	48	True
Masopust_054_D:A0312	172	0.015305868242726145	-0.41878417914299115	irrelevant_peptide	48	True
Masopust_054_D:A0313	397	-0.030211161603831305	-0.5375461419967766	irrelevant_peptide	48	True
Masopust_054_E:A0311	863	0.07101670154417405	0.10361807263018949	innate_agonist	12	True
