protein	lineage	selector	n_paired_mice	median_paired_CLR_difference	direction_consistency	pvalue	FDR	excluded_selector_protein	eligible_discovery_result
Mouse IgG2b,  isotype Ctrl	CD4	ADT_activation	47	-0.15185070037841797	0.06382978723404255	4.4756422568070775e-08	2.1383624115856037e-07	False	True
anti-mouse CD103	CD4	ADT_activation	47	0.4232003688812256	0.9361702127659575	5.042324602300141e-08	2.3230709774882795e-07	False	True
anti-human/mouse CD49f	CD4	ADT_activation	47	-0.17426541447639465	0.1276595744680851	5.351149212629025e-08	2.3803387876867042e-07	False	True
Mouse IgG1,  isotype Ctrl	CD4	ADT_activation	47	-0.11604011058807373	0.10638297872340426	6.02474869992875e-08	2.507072846099383e-07	False	True
anti-mouse CD371 (CLEC12A)	CD4	ADT_activation	47	-0.1395472288131714	0.10638297872340426	6.02474869992875e-08	2.507072846099383e-07	False	True
anti-mouse Ly-6A/E (Sca-1)	CD4	ADT_activation	47	0.390838623046875	0.8936170212765957	9.09226613998726e-08	3.665319787682364e-07	False	True
anti-mouse CD23	CD4	ADT_activation	47	-0.17533695697784424	0.0851063829787234	1.0828379970462265e-07	4.2329121702716127e-07	False	True
Rat IgG2b,  Isotype Ctrl	CD4	ADT_activation	47	-0.14667904376983643	0.06382978723404255	1.5313415246964723e-07	5.81008990252485e-07	False	True
anti-mouse CD51	CD4	ADT_activation	47	0.21405017375946045	0.851063829787234	3.201481888481794e-07	1.17997475318329e-06	False	True
anti-mouse CD11a	CD4	ADT_activation	47	-0.14626264572143555	0.1702127659574468	3.785573596815084e-07	1.356497205525405e-06	False	True
anti-mouse Ly49D	CD4	ADT_activation	47	-0.16548454761505127	0.10638297872340426	4.994473670194566e-07	1.7413164958245918e-06	False	True
anti-mouse CD45.2	CD4	ADT_activation	47	0.16096144914627075	0.8297872340425532	6.571602284566325e-07	2.2308860387080417e-06	False	True
anti-mouse CD2	CD4	ADT_activation	47	0.28094005584716797	0.8936170212765957	7.328478659474058e-07	2.424035248902958e-06	False	True
anti-mouse CD115 (CSF-1R)	CD4	ADT_activation	47	-0.1701831817626953	0.14893617021276595	1.0696338677007589e-06	3.4495692233349476e-06	False	True
anti-mouse CD22	CD4	ADT_activation	47	-0.15769684314727783	0.1702127659574468	1.3967752465759986e-06	4.290095400197709e-06	False	True
anti-mouse Ly-49A	CD4	ADT_activation	47	-0.14754819869995117	0.1276595744680851	1.3967752465759986e-06	4.290095400197709e-06	False	True
Rat IgG2c,  Isotype Ctrl	CD4	ADT_activation	47	-0.14145231246948242	0.10638297872340426	1.552939693283406e-06	4.658819079850218e-06	False	True
anti-mouse/rat CD61	CD4	ADT_activation	47	0.1993594467639923	0.8085106382978723	1.725817810438457e-06	5.0597840351491126e-06	False	True
anti-mouse VISTA (PD-1H)	CD4	ADT_activation	47	0.07482612133026123	0.8297872340425532	1.8190481796409586e-06	5.214604781637415e-06	False	True
Rat IgG1,  Isotype Ctrl	CD4	ADT_activation	47	-0.12591087818145752	0.10638297872340426	1.9171079657098744e-06	5.2618495229058255e-06	False	True
anti-mouse/rat CD81	CD4	ADT_activation	47	0.16558480262756348	0.8085106382978723	1.9171079657098744e-06	5.2618495229058255e-06	False	True
anti-mouse CD150 (SLAM)	CD4	ADT_activation	47	0.1456775665283203	0.851063829787234	2.020240344791091e-06	5.429395926626057e-06	False	True
anti-mouse CD45.1	CD4	ADT_activation	47	-0.1229943037033081	0.14893617021276595	2.3625932499271585e-06	6.21988835184905e-06	False	True
anti-mouse CD200R (OX2R)	CD4	ADT_activation	47	0.11953800916671753	0.8085106382978723	3.391430027477327e-06	8.749889470891503e-06	False	True
Mouse IgG2a,  isotype Ctrl	CD4	ADT_activation	47	-0.13488757610321045	0.1702127659574468	4.6038549044169486e-06	1.1421101589803584e-05	False	True
Rat IgG2a,  Isotype Ctrl	CD4	ADT_activation	47	-0.10353755950927734	0.10638297872340426	4.6038549044169486e-06	1.1421101589803584e-05	False	True
anti-mouse CD11c	CD4	ADT_activation	47	-0.11253905296325684	0.14893617021276595	5.093235358799575e-06	1.2167173357132317e-05	False	True
anti-mouse CD79b (Ig)	CD4	ADT_activation	47	-0.13187068700790405	0.2127659574468085	5.093235358799575e-06	1.2167173357132317e-05	False	True
anti-mouse CD38	CD4	ADT_activation	47	0.14037734270095825	0.7659574468085106	5.356228939490393e-06	1.2562791512622922e-05	False	True
anti-mouse CD200 (OX2)	CD4	ADT_activation	47	0.13527727127075195	0.851063829787234	7.5964449024468195e-06	1.7498953435993568e-05	False	True
anti-mouse CD21/CD35 (CR2/CR1)	CD4	ADT_activation	47	-0.14602738618850708	0.14893617021276595	8.809378414298408e-06	1.9937014306043765e-05	False	True
anti-mouse CD24	CD4	ADT_activation	47	-0.1522066593170166	0.1702127659574468	9.718561159388628e-06	2.1615420509674704e-05	False	True
anti-mouse CD45	CD4	ADT_activation	47	0.17266464233398438	0.8936170212765957	1.0716967153712176e-05	2.3041479380481178e-05	False	True
anti-mouse CD49b	CD4	ADT_activation	47	-0.17870399355888367	0.2127659574468085	1.0716967153712176e-05	2.3041479380481178e-05	False	True
anti-mouse TER-119/Erythroid Cells	CD4	ADT_activation	47	-0.13131284713745117	0.1702127659574468	1.2400129890011158e-05	2.6223225505105562e-05	False	True
anti-mouse CD3	CD4	ADT_activation	47	-0.0771334171295166	0.23404255319148937	1.301519569096854e-05	2.7080003937660346e-05	False	True
anti-mouse CD5	CD4	ADT_activation	47	0.2783639430999756	0.8085106382978723	1.7362850485369563e-05	3.5552503374804344e-05	False	True
anti-mouse CD63	CD4	ADT_activation	47	0.10625992715358734	0.8085106382978723	2.3073464035405777e-05	4.579195170103608e-05	False	True
anti-mouse CD270 (HVEM)	CD4	ADT_activation	47	-0.09963014721870422	0.2127659574468085	2.3073464035405777e-05	4.579195170103608e-05	False	True
anti-mouse IL-33R (IL1RL1, ST2)	CD4	ADT_activation	47	0.0956166684627533	0.7872340425531915	3.199403727194294e-05	6.253380012243393e-05	False	True
anti-mouse CD160	CD4	ADT_activation	47	-0.08035778999328613	0.2127659574468085	3.350904808030464e-05	6.451742093073579e-05	False	True
anti-mouse/human CD45R/B220	CD4	ADT_activation	47	-0.1519538164138794	0.1702127659574468	3.5092114558210596e-05	6.466975397155953e-05	False	True
anti-mouse CD200R3	CD4	ADT_activation	47	-0.09887245297431946	0.19148936170212766	3.5092114558210596e-05	6.466975397155953e-05	False	True
anti-mouse Ly108	CD4	ADT_activation	47	-0.10261370986700058	0.2978723404255319	3.5092114558210596e-05	6.466975397155953e-05	False	True
anti-mouse CD68	CD4	ADT_activation	47	-0.12097105383872986	0.1702127659574468	3.6745957913808525e-05	6.583650792890694e-05	False	True
anti-mouse CD94	CD4	ADT_activation	47	-0.20016741752624512	0.1702127659574468	3.6745957913808525e-05	6.583650792890694e-05	False	True
anti-mouse CD205 (DEC-205)	CD4	ADT_activation	47	-0.1090613603591919	0.2978723404255319	5.0572227337397635e-05	8.936736063731911e-05	False	True
Rat IgG1,  isotype Ctrl	CD4	ADT_activation	47	-0.11127591133117676	0.19148936170212766	5.2910349040757865e-05	9.100580035010352e-05	False	True
anti-mouse CD186 (CXCR6)	CD4	ADT_activation	47	-0.24805313348770142	0.19148936170212766	5.2910349040757865e-05	9.100580035010352e-05	False	True
anti-mouse JAML	CD4	ADT_activation	47	-0.1070636510848999	0.2127659574468085	5.78974504605867e-05	9.827330407125899e-05	False	True
anti-mouse CD301a	CD4	ADT_activation	47	-0.13212180137634277	0.2765957446808511	6.33275558357127e-05	0.00010609421691957063	False	True
anti-mouse CD102	CD4	ADT_activation	47	-0.11574789881706238	0.2127659574468085	7.238431862788275e-05	0.0001197125269614984	False	True
anti-mouse CD107a (LAMP-1)	CD4	ADT_activation	47	0.10860049724578857	0.7021276595744681	8.637704013381153e-05	0.00014104605287673023	False	True
anti-mouse CD4	CD4	ADT_activation	47	-0.17248868942260742	0.2127659574468085	9.02549727470614e-05	0.0001455361435546365	False	True
anti-mouse CD49a	CD4	ADT_activation	47	-0.13222485780715942	0.2553191489361702	0.00010289906640537083	0.00016387629094188688	False	True
anti-mouse CD366 (Tim-3)	CD4	ADT_activation	47	0.09283870458602905	0.8085106382978723	0.00011720221664290875	0.00018437909691384425	False	True
anti-mouse PIR-A/B	CD4	ADT_activation	47	-0.09730750322341919	0.2127659574468085	0.00017219193978235126	0.0002676236172520881	False	True
anti-mouse F4/80	CD4	ADT_activation	47	-0.07580682635307312	0.23404255319148937	0.0001873410801636055	0.00028101162024540827	False	True
anti-mouse TCR /	CD4	ADT_activation	47	-0.08437120914459229	0.2553191489361702	0.0001873410801636055	0.00028101162024540827	False	True
anti-mouse IgD	CD4	ADT_activation	47	-0.10501754283905029	0.2127659574468085	0.0001873410801636055	0.00028101162024540827	False	True
anti-mouse CD163	CD4	ADT_activation	47	-0.10203713178634644	0.23404255319148937	0.00019537733169272542	0.00028640540668592706	False	True
anti-mouse CD159a (NKG2AB6)	CD4	ADT_activation	47	-0.09618112444877625	0.2978723404255319	0.00019537733169272542	0.00028640540668592706	False	True
anti-mouse CD138 (Syndecan-1)	CD4	ADT_activation	47	-0.06337829679250717	0.19148936170212766	0.00023087523004505783	0.0003346393783799153	False	True
anti-mouse CD272 (BTLA)	CD4	ADT_activation	47	-0.10385775566101074	0.2978723404255319	0.00024065120669547468	0.0003449333962635137	False	True
anti-mouse/human CD44	CD4	ADT_activation	47	0.10026752948760986	0.7446808510638298	0.00025081454077735543	0.00035555028307998734	False	True
anti-mouse I-A/I-E	CD4	ADT_activation	47	0.1052519679069519	0.7021276595744681	0.00037711006007157266	0.0005287738885786182	False	True
anti-mouse IgM	CD4	ADT_activation	47	-0.08252963423728943	0.2127659574468085	0.00040863867616280913	0.0005668213895161547	False	True
anti-mouse/human CD11b	CD4	ADT_activation	47	-0.11441516876220703	0.19148936170212766	0.0004426164960023016	0.0006074205104712437	False	True
anti-mouse/rat/human CD27	CD4	ADT_activation	47	0.13562911748886108	0.723404255319149	0.0005394421168603003	0.0007325056113155657	False	True
anti-mouse CD48	CD4	ADT_activation	47	-0.08615326881408691	0.2978723404255319	0.0006066596251912415	0.0008151988713507308	False	True
anti-mouse NK-1.1	CD4	ADT_activation	47	-0.09680801630020142	0.3404255319148936	0.0006557172746397555	0.0008720363755518398	False	True
anti-mouse CD279 (PD-1)	CD4	ADT_activation	47	0.13906052708625793	0.6382978723404256	0.001075904699973762	0.0014162419009858705	False	True
anti-mouse CD8a	CD4	ADT_activation	47	-0.14643950760364532	0.2553191489361702	0.0013440983602777123	0.001751400893695201	False	True
anti-mouse CD169/Siglec-1	CD4	ADT_activation	47	-0.0750754177570343	0.2553191489361702	0.0019314702367410064	0.002491596605395898	False	True
anti-mouse FcRI	CD4	ADT_activation	47	-0.08576792478561401	0.2553191489361702	0.0022263838909566402	0.002843599227063432	False	True
anti-mouse CD62L	CD4	ADT_activation	47	-0.06356501579284668	0.23404255319148937	0.005211045034229755	0.006590439307996456	False	True
anti-mouse CD106	CD4	ADT_activation	47	-0.05473168566823006	0.2978723404255319	0.005562315229326487	0.006966394801777833	False	True
anti-mouse Ly49H	CD4	ADT_activation	47	-0.06729084253311157	0.2978723404255319	0.007659911643713713	0.00950123655806797	False	True
anti-mouse CD301b	CD4	ADT_activation	47	-0.06989933550357819	0.3404255319148936	0.010440670885145664	0.01282710994460753	False	True
anti-mouse CD199 (CCR9)	CD4	ADT_activation	47	-0.03437432646751404	0.2765957446808511	0.017266379669308662	0.021012858276800165	False	True
anti-mouse CD40	CD4	ADT_activation	47	-0.047237396240234375	0.3191489361702128	0.018811821937561035	0.022679673177059566	False	True
anti-mouse CX3CR1	CD4	ADT_activation	47	-0.05077002942562103	0.3191489361702128	0.021059809252619743	0.02515477216285136	False	True
anti-mouse CD223 (LAG-3)	CD4	ADT_activation	47	0.04715267941355705	0.5957446808510638	0.02165711671113968	0.025630899593917605	False	True
anti-mouse CD41	CD4	ADT_activation	47	-0.03200317919254303	0.3404255319148936	0.02226911671459675	0.02611560051075437	False	True
anti-mouse CD43	CD4	ADT_activation	47	-0.06779670715332031	0.3829787234042553	0.025559792295098305	0.02970462347808722	False	True
anti-mouse/rat XCR1	CD4	ADT_activation	47	-0.05136912688612938	0.3617021276595745	0.02848750911653042	0.03281150603600379	False	True
anti-mouse CD317 (BST2, PDCA-1)	CD4	ADT_activation	47	0.03940129280090332	0.6808510638297872	0.03254955634474754	0.037158343083826845	False	True
anti-mouse CD8b (Ly-3)	CD4	ADT_activation	47	-0.0830487608909607	0.3617021276595745	0.0334189273416996	0.03781615462350218	False	True
anti-mouse CD185 (CXCR5)	CD4	ADT_activation	47	-0.05666995048522949	0.3404255319148936	0.04007852450013161	0.044957649221886754	False	True
anti-mouse Ly-6G	CD4	ADT_activation	47	-0.029295802116394043	0.3829787234042553	0.06557825207710266	0.07292753894781244	False	True
anti-mouse CD170 (Siglec-F)	CD4	ADT_activation	47	-0.03885841369628906	0.3404255319148936	0.06873902678489685	0.0757891833782196	False	True
anti-mouse Siglec H	CD4	ADT_activation	47	-0.019879400730133057	0.3829787234042553	0.07371395081281662	0.07990840046095248	False	True
anti-mouse CD9	CD4	ADT_activation	47	-0.0474712997674942	0.425531914893617	0.07371395081281662	0.07990840046095248	False	True
anti-mouse CD20	CD4	ADT_activation	47	-0.039490461349487305	0.3404255319148936	0.08080121129751205	0.08686130214482546	False	True
anti-mouse CD85k (gp49 Receptor)	CD4	ADT_activation	47	-0.050928354263305664	0.3829787234042553	0.10095640271902084	0.10763120620457595	False	True
anti-mouse CD86	CD4	ADT_activation	47	0.04701390862464905	0.6170212765957447	0.2401469498872757	0.25392587324146365	False	True
anti-mouse CD274 (B7-H1, PD-L1)	CD4	ADT_activation	47	0.017156124114990234	0.5531914893617021	0.2575121223926544	0.2678956757149389	False	True
anti-mouse CD172a (SIRP)	CD4	ADT_activation	47	-0.039288461208343506	0.3617021276595745	0.2575121223926544	0.2678956757149389	False	True
anti-mouse CD1d (CD1.1, Ly-38)	CD4	ADT_activation	47	0.035723935812711716	0.574468085106383	0.3740561306476593	0.38602592682838444	False	True
anti-mouse CD155 (PVR)	CD4	ADT_activation	47	0.0088004469871521	0.5106382978723404	0.504979133605957	0.5170024463108608	False	True
anti-mouse CD304 (Neuropilin-1)	CD4	ADT_activation	47	-0.003951907157897949	0.44680851063829785	0.5463869571685791	0.5549914761791079	False	True
anti-mouse CD64 (FcRI)	CD4	ADT_activation	47	-0.0025916248559951782	0.48936170212765956	0.7508909702301025	0.7567573059350252	False	True
anti-mouse CD83	CD4	ADT_activation	47	-0.0041738152503967285	0.46808510638297873	0.9578030109405518	0.9578030109405518	False	True
anti-mouse CD103	CD4	RNA_activation	47	0.5891233086585999	0.9787234042553191	3.5298000078398672e-09	4.553442010113429e-07	False	True
anti-mouse/human CD44	CD4	RNA_activation	47	0.24507129192352295	0.8936170212765957	1.5009515408337393e-08	6.864316777210888e-07	False	True
anti-human/mouse integrin 7	CD4	RNA_activation	47	0.4793022871017456	0.9361702127659575	1.596352738886253e-08	6.864316777210888e-07	False	True
anti-mouse CD62L	CD4	RNA_activation	47	-0.1386113166809082	0.10638297872340426	4.215968374410295e-08	1.3596498007473201e-06	False	True
anti-mouse CD69	CD4	RNA_activation	47	0.14883434772491455	0.8723404255319149	1.9251670835274126e-07	4.966931075500724e-06	False	True
anti-mouse IL-33R (IL1RL1, ST2)	CD4	RNA_activation	47	0.1169598251581192	0.851063829787234	4.471852719234448e-07	9.614483346354064e-06	False	True
anti-mouse CD120b (TNF R Type II/p75)	CD4	RNA_activation	47	-0.14786264300346375	0.1276595744680851	8.1690086517483e-07	1.5054315943936153e-05	False	True
anti-mouse CD49d	CD4	RNA_activation	47	-0.1305217146873474	0.14893617021276595	1.3244713272797526e-06	2.135710015238601e-05	False	True
anti-mouse CD205 (DEC-205)	CD4	RNA_activation	47	-0.11807137727737427	0.1702127659574468	1.725817810438457e-06	2.4736721949617884e-05	False	True
anti-mouse TCR  chain	CD4	RNA_activation	47	-0.13763785362243652	0.19148936170212766	7.981816452229396e-06	9.360493839432655e-05	False	True
anti-mouse CD3	CD4	RNA_activation	47	-0.08231961727142334	0.1702127659574468	7.981816452229396e-06	9.360493839432655e-05	False	True
anti-mouse CD2	CD4	RNA_activation	47	0.12537670135498047	0.7872340425531915	9.253317330149002e-06	9.947316129910178e-05	False	True
anti-mouse Ly108	CD4	RNA_activation	47	-0.1270580291748047	0.19148936170212766	1.6552949091419578e-05	0.00016425618713793272	False	True
anti-mouse/human KLRG1 (MAFA)	CD4	RNA_activation	47	0.1885906457901001	0.723404255319149	2.782979754556436e-05	0.0002564317059555573	False	True
anti-mouse CD137	CD4	RNA_activation	47	0.08321875333786011	0.7659574468085106	3.5092114558210596e-05	0.00026628722223583334	False	True
anti-mouse CD200R (OX2R)	CD4	RNA_activation	47	0.08871912956237793	0.8297872340425532	3.5092114558210596e-05	0.00026628722223583334	False	True
anti-mouse CD159a (NKG2AB6)	CD4	RNA_activation	47	-0.07770732045173645	0.23404255319148937	3.5092114558210596e-05	0.00026628722223583334	False	True
anti-mouse CD279 (PD-1)	CD4	RNA_activation	47	-0.13785646855831146	0.19148936170212766	4.413133137859404e-05	0.00028464708739193154	False	True
anti-mouse CD127 (IL-7R)	CD4	RNA_activation	47	0.046924710273742676	0.7659574468085106	4.216303932480514e-05	0.00028464708739193154	False	True
anti-mouse CD150 (SLAM)	CD4	RNA_activation	47	0.09131264686584473	0.7872340425531915	4.413133137859404e-05	0.00028464708739193154	False	True
anti-mouse CD270 (HVEM)	CD4	RNA_activation	47	-0.07057303190231323	0.2127659574468085	5.5350770708173513e-05	0.00034001187720735155	False	True
anti-mouse CD23	CD4	RNA_activation	47	-0.08484363555908203	0.2553191489361702	7.238431862788275e-05	0.0004244353228634943	False	True
anti-mouse CD48	CD4	RNA_activation	47	0.07289624214172363	0.7659574468085106	0.00010289906640537083	0.0005771295463605582	False	True
Mouse IgG2b,  isotype Ctrl	CD4	RNA_activation	47	-0.06484627723693848	0.2765957446808511	0.00011720221664290875	0.0006299619144556345	False	True
anti-mouse CD20	CD4	RNA_activation	47	-0.03501713275909424	0.23404255319148937	0.00017961648700293154	0.0009268210729351267	False	True
anti-mouse CD272 (BTLA)	CD4	RNA_activation	47	-0.09271067380905151	0.19148936170212766	0.0002124311140505597	0.0010539851427893154	False	True
anti-mouse Ly-6C	CD4	RNA_activation	47	-0.07073891162872314	0.2553191489361702	0.00026137937675230205	0.0012488125778165541	False	True
anti-mouse CD25	CD4	RNA_activation	47	0.0921105146408081	0.7446808510638298	0.00032075526542030275	0.001436429942259565	False	True
anti-mouse CD49b	CD4	RNA_activation	47	0.15036097168922424	0.7021276595744681	0.0003340534749440849	0.001436429942259565	False	True
anti-mouse/rat CD61	CD4	RNA_activation	47	0.10979175567626953	0.7021276595744681	0.0003340534749440849	0.001436429942259565	False	True
Mouse IgG2a,  isotype Ctrl	CD4	RNA_activation	47	-0.07435929775238037	0.3191489361702128	0.00036221242044121027	0.00150727103990052	False	True
anti-mouse CD54	CD4	RNA_activation	47	0.12968897819519043	0.723404255319149	0.0005186244379729033	0.0020907047655782662	False	True
anti-mouse CD11c	CD4	RNA_activation	47	-0.06390619277954102	0.3191489361702128	0.0007084427052177489	0.002769366938578473	False	True
anti-mouse CD79b (Ig)	CD4	RNA_activation	47	-0.06979382038116455	0.2765957446808511	0.0008259106543846428	0.003133602188694674	False	True
anti-mouse CD4	CD4	RNA_activation	47	-0.09209644794464111	0.23404255319148937	0.0008579767891205847	0.0031622573084730127	False	True
anti-mouse CD71	CD4	RNA_activation	47	-0.06430646777153015	0.2553191489361702	0.000891194969881326	0.003193448642074751	False	True
anti-mouse CD51	CD4	RNA_activation	47	0.13793674111366272	0.7021276595744681	0.001036345842294395	0.0036132057744858634	False	True
Rat IgG1,  isotype Ctrl	CD4	RNA_activation	47	-0.03258150815963745	0.3191489361702128	0.0012954935664311051	0.004397859738674015	False	True
anti-mouse CD200 (OX2)	CD4	RNA_activation	47	-0.07423186302185059	0.3404255319148936	0.0013440983602777123	0.004445863807072434	False	True
anti-mouse CD199 (CCR9)	CD4	RNA_activation	47	-0.05925863981246948	0.2765957446808511	0.001446391106583178	0.004664611318730749	False	True
anti-mouse CD226 (DNAM-1)	CD4	RNA_activation	47	0.05586293339729309	0.6808510638297872	0.0029434137977659702	0.009260984875897809	False	True
anti-mouse CD223 (LAG-3)	CD4	RNA_activation	47	-0.046129122376441956	0.2978723404255319	0.0031529157422482967	0.00968395549404834	False	True
anti-mouse CD8b (Ly-3)	CD4	RNA_activation	47	-0.08380067348480225	0.3191489361702128	0.0034927313681691885	0.010478194104507565	False	True
anti-mouse CD38	CD4	RNA_activation	47	0.06333786249160767	0.6595744680851063	0.0044188774190843105	0.012955345160497183	False	True
Rat IgG2b,  Isotype Ctrl	CD4	RNA_activation	47	-0.04236781597137451	0.3191489361702128	0.00472162663936615	0.013535329699516296	False	True
anti-mouse CD8a	CD4	RNA_activation	47	-0.053552210330963135	0.2978723404255319	0.005562315229326487	0.015598666621372102	False	True
anti-mouse IgD	CD4	RNA_activation	47	-0.04962855577468872	0.3191489361702128	0.006329649593681097	0.01737286803372046	False	True
anti-mouse CD155 (PVR)	CD4	RNA_activation	47	-0.05414259433746338	0.2978723404255319	0.006535801570862532	0.017564966721693054	False	True
anti-mouse CD26 (DPP-4)	CD4	RNA_activation	47	-0.042155057191848755	0.3617021276595745	0.006966313347220421	0.01833988615900886	False	True
anti-mouse Tim-4	CD4	RNA_activation	47	-0.03589129447937012	0.2765957446808511	0.007904507219791412	0.020393628627061844	False	True
anti-mouse Ly-6G	CD4	RNA_activation	47	-0.04102593660354614	0.3617021276595745	0.008414780721068382	0.021284445353290615	False	True
anti-mouse CX3CR1	CD4	RNA_activation	47	-0.02226082980632782	0.2978723404255319	0.009821628220379353	0.024365193085171856	False	True
anti-mouse CD45.1	CD4	RNA_activation	47	-0.03911423683166504	0.3191489361702128	0.010126939043402672	0.024648587482998956	False	True
anti-mouse/rat/human CD27	CD4	RNA_activation	47	-0.06029200553894043	0.3617021276595745	0.011434372514486313	0.027315445451272857	False	True
anti-mouse FcRI	CD4	RNA_activation	47	-0.0583038330078125	0.2765957446808511	0.012142645195126534	0.028480022366751324	False	True
anti-mouse I-A/I-E	CD4	RNA_activation	47	0.088807612657547	0.6808510638297872	0.013277982361614704	0.030586780797291015	False	True
anti-mouse CD357 (GITR)	CD4	RNA_activation	47	0.11815667152404785	0.5957446808510638	0.01537961233407259	0.034806491071848494	False	True
anti-mouse CD21/CD35 (CR2/CR1)	CD4	RNA_activation	47	-0.033332765102386475	0.3617021276595745	0.015833452343940735	0.03521578193738543	False	True
Armenian Hamster IgG Isotype Ctrl	CD4	RNA_activation	47	-0.02276134490966797	0.40425531914893614	0.01629902794957161	0.03563685772024979	False	True
anti-mouse CD134 (OX-40)	CD4	RNA_activation	47	0.0344158411026001	0.6382978723404256	0.019353197887539864	0.04160937545821071	False	True
anti-mouse CD22	CD4	RNA_activation	47	-0.04630422592163086	0.3191489361702128	0.021059809252619743	0.04453631792767126	False	True
anti-mouse CD73	CD4	RNA_activation	47	0.10714578628540039	0.7021276595744681	0.022896086797118187	0.04763863220690719	False	True
anti-mouse CD274 (B7-H1, PD-L1)	CD4	RNA_activation	47	0.06328077614307404	0.5957446808510638	0.024196187034249306	0.049544573451081916	False	True
anti-mouse CD94	CD4	RNA_activation	47	-0.039202094078063965	0.3829787234042553	0.026989398524165154	0.05440050640027039	False	True
anti-mouse CD49a	CD4	RNA_activation	47	-0.050584256649017334	0.3404255319148936	0.02848750911653042	0.056536748862037293	False	True
anti-mouse CD93 (AA4.1, early B lineage)	CD4	RNA_activation	47	-0.029132843017578125	0.3191489361702128	0.02926304191350937	0.057195945558222855	False	True
anti-mouse CD163	CD4	RNA_activation	47	-0.03306436538696289	0.40425531914893614	0.03430810570716858	0.06605590501827979	False	True
anti-mouse CD301a	CD4	RNA_activation	47	-0.04506731033325195	0.3191489361702128	0.03709789365530014	0.0703768864931429	False	True
anti-mouse CD11a	CD4	RNA_activation	47	-0.03965115547180176	0.3617021276595745	0.04007852450013161	0.07492941536981128	False	True
anti-mouse Ly49H	CD4	RNA_activation	47	-0.03375330567359924	0.40425531914893614	0.042176488786935806	0.07772524362163885	False	True
anti-mouse CD301b	CD4	RNA_activation	47	-0.030000319704413414	0.3404255319148936	0.04549725353717804	0.08266402403233757	False	True
anti-mouse Siglec H	CD4	RNA_activation	47	-0.015426751226186752	0.3829787234042553	0.04783136397600174	0.08569786045700312	False	True
anti-mouse CD45	CD4	RNA_activation	47	0.034248173236846924	0.6595744680851063	0.06253829598426819	0.11051287920507666	False	True
anti-mouse CD19	CD4	RNA_activation	47	-0.021567344665527344	0.3191489361702128	0.07543628662824631	0.131503796960051	False	True
Mouse IgG1,  isotype Ctrl	CD4	RNA_activation	47	-0.029483437538146973	0.3829787234042553	0.0789794847369194	0.13584471374750137	False	True
anti-mouse IgM	CD4	RNA_activation	47	-0.03320150077342987	0.3617021276595745	0.08454697579145432	0.14350736680391588	False	True
anti-mouse CD1d (CD1.1, Ly-38)	CD4	RNA_activation	47	0.06042508780956268	0.574468085106383	0.09042779356241226	0.1514959138902751	False	True
anti-mouse CD41	CD4	RNA_activation	47	-0.03230440616607666	0.3829787234042553	0.09245968610048294	0.15291409624310642	False	True
anti-mouse CD36	CD4	RNA_activation	47	-0.03266361355781555	0.40425531914893614	0.09452807158231735	0.15389757299864734	False	True
anti-mouse CD68	CD4	RNA_activation	47	-0.02143537998199463	0.46808510638297873	0.09663335978984833	0.15389757299864734	False	True
anti-mouse CD185 (CXCR5)	CD4	RNA_activation	47	-0.0248604416847229	0.40425531914893614	0.09663335978984833	0.15389757299864734	False	True
anti-mouse CD43	CD4	RNA_activation	47	-0.07025694847106934	0.425531914893617	0.11006392538547516	0.1731493460332475	False	True
anti-mouse/rat XCR1	CD4	RNA_activation	47	-0.04378277063369751	0.3829787234042553	0.12234745919704437	0.1901544847761292	False	True
anti-mouse Ly49D	CD4	RNA_activation	47	-0.028395771980285645	0.3617021276595745	0.14131276309490204	0.21701602903859954	False	True
anti-mouse CD90.2	CD4	RNA_activation	47	-0.05316162109375	0.3829787234042553	0.14712665975093842	0.21815332307897767	False	True
anti-mouse/rat CD29	CD4	RNA_activation	47	-0.023600995540618896	0.425531914893617	0.1441972404718399	0.21815332307897767	False	True
anti-mouse CD371 (CLEC12A)	CD4	RNA_activation	47	-0.027366995811462402	0.3829787234042553	0.14712665975093842	0.21815332307897767	False	True
Rat IgG2a,  Isotype Ctrl	CD4	RNA_activation	47	-0.020576000213623047	0.40425531914893614	0.1531217098236084	0.2244625064459714	False	True
anti-mouse CD200R3	CD4	RNA_activation	47	-0.025379151105880737	0.40425531914893614	0.16892054677009583	0.24483989363306025	False	True
anti-mouse TCR /	CD4	RNA_activation	47	-0.04217404127120972	0.3829787234042553	0.18241631984710693	0.26146339178085326	False	True
anti-mouse CD160	CD4	RNA_activation	47	-0.02699100971221924	0.44680851063829785	0.18945682048797607	0.26857065761482324	False	True
anti-mouse/human CD45R/B220	CD4	RNA_activation	47	-0.01226198673248291	0.46808510638297873	0.20793034136295319	0.2875705723699771	False	True
anti-mouse CD172a (SIRP)	CD4	RNA_activation	47	-0.02413463592529297	0.425531914893617	0.20793034136295319	0.2875705723699771	False	True
anti-mouse CD317 (BST2, PDCA-1)	CD4	RNA_activation	47	0.03755638748407364	0.5957446808510638	0.21177677810192108	0.2875705723699771	False	True
anti-mouse JAML	CD4	RNA_activation	47	0.02301931381225586	0.6170212765957447	0.21177677810192108	0.2875705723699771	False	True
