protein	lineage	selector	n_paired_mice	median_paired_CLR_difference	direction_consistency	pvalue	FDR	excluded_selector_protein	eligible_discovery_result
anti-mouse CD1d (CD1.1, Ly-38)	CD8	RNA_activation	42	0.09254422783851624	0.7619047619047619	0.00022003173944540322	0.002580372217132456	False	True
anti-mouse CD55 (DAF)	CD8	RNA_activation	42	0.1435498595237732	0.7380952380952381	0.0003929280792362988	0.004223976851790212	False	True
anti-mouse CD73	CD8	RNA_activation	42	0.15600158274173737	0.7142857142857143	0.0005209107766859233	0.005169037707114163	False	True
anti-mouse CD43	CD8	RNA_activation	42	-0.059009432792663574	0.2619047619047619	0.0006869264179840684	0.005907567194662988	False	True
anti-mouse VISTA (PD-1H)	CD8	RNA_activation	42	0.03875148296356201	0.7380952380952381	0.0006562141352333128	0.005907567194662988	False	True
anti-mouse CD45.2	CD8	RNA_activation	42	-0.13017451763153076	0.3333333333333333	0.0010765858460217714	0.008679973383550532	False	True
anti-mouse Ly-49A	CD8	RNA_activation	42	0.04862630367279053	0.7380952380952381	0.001461697742342949	0.011091706397778846	False	True
anti-mouse CD160	CD8	RNA_activation	42	0.04568714648485184	0.7142857142857143	0.0017352079739794135	0.012435657146852463	False	True
anti-mouse CD38	CD8	RNA_activation	42	-0.11096075922250748	0.30952380952380953	0.0022345571778714657	0.015171467155022055	False	True
anti-mouse/human CD11b	CD8	RNA_activation	42	0.037834614515304565	0.7142857142857143	0.005613184068351984	0.0344809878484479	False	True
anti-mouse CD102	CD8	RNA_activation	42	0.0909365713596344	0.7142857142857143	0.005613184068351984	0.0344809878484479	False	True
anti-mouse/rat CD61	CD8	RNA_activation	42	-0.11551934480667114	0.23809523809523808	0.006294150836765766	0.036906611724671995	False	True
anti-mouse CD49d	CD8	RNA_activation	42	-0.08016219735145569	0.35714285714285715	0.007048601284623146	0.037686367984861135	False	True
anti-mouse CD62L	CD8	RNA_activation	42	-0.06513476371765137	0.2857142857142857	0.007595702074468136	0.037686367984861135	False	True
anti-mouse CD31	CD8	RNA_activation	42	0.06735390424728394	0.6904761904761905	0.007595702074468136	0.037686367984861135	False	True
anti-mouse Ly108	CD8	RNA_activation	42	-0.05194970220327377	0.2857142857142857	0.007048601284623146	0.037686367984861135	False	True
anti-mouse CD25	CD8	RNA_activation	42	0.03963419795036316	0.6666666666666666	0.008805429562926292	0.04207038568953673	False	True
anti-mouse CD357 (GITR)	CD8	RNA_activation	42	-0.050176724791526794	0.3333333333333333	0.009822774678468704	0.045254926197230816	False	True
anti-mouse CD107a (LAMP-1)	CD8	RNA_activation	42	0.04116390645503998	0.6190476190476191	0.011341666802763939	0.050450862674363724	False	True
anti-mouse CD51	CD8	RNA_activation	42	-0.09093473851680756	0.30952380952380953	0.011752561666071415	0.050536015164107086	False	True
anti-mouse Ly-6A/E (Sca-1)	CD8	RNA_activation	42	-0.0977897047996521	0.30952380952380953	0.014506670646369457	0.058480016043176875	False	True
anti-mouse CD11a	CD8	RNA_activation	42	-0.05161571502685547	0.3333333333333333	0.014506670646369457	0.058480016043176875	False	True
anti-mouse/human KLRG1 (MAFA)	CD8	RNA_activation	42	-0.0372941792011261	0.2857142857142857	0.015543618239462376	0.06076141675426201	False	True
anti-mouse CD366 (Tim-3)	CD8	RNA_activation	42	-0.021204769611358643	0.2857142857142857	0.016645239666104317	0.0631539975566899	False	True
anti-mouse CD19	CD8	RNA_activation	42	-0.016173720359802246	0.38095238095238093	0.017814846709370613	0.0656604350145374	False	True
anti-mouse CD40	CD8	RNA_activation	42	0.02995014376938343	0.6904761904761905	0.021058958023786545	0.07546126625190179	False	True
anti-mouse CD94	CD8	RNA_activation	42	0.04622867330908775	0.5952380952380952	0.021766262128949165	0.07588777877390385	False	True
anti-mouse CD24	CD8	RNA_activation	42	0.060750722885131836	0.7142857142857143	0.029117703437805176	0.0988469406178123	False	True
anti-mouse CD279 (PD-1)	CD8	RNA_activation	42	-0.1331055909395218	0.2619047619047619	0.03200259804725647	0.1058547473870791	False	True
anti-mouse CD45	CD8	RNA_activation	42	-0.05315583944320679	0.3333333333333333	0.036227595061063766	0.11683399407193065	False	True
