data_driven_cluster	n_cells	mean_curated	median_curated	mean_ADT	data_driven_activation_state
1	1097	0.47325268608401055	0.42682088408807317	0.7047248185887036	True
7	1209	0.33205870578533764	0.3061664244141242	-0.10401064379120055	False
3	4326	0.24125823103513863	0.2084122730023933	0.5247794867776915	False
4	5944	0.17981440720613698	0.1490784371140027	-0.14035140196559598	False
9	1654	0.17542605178983217	0.16631693135608322	-0.09250416901213074	False
6	1198	0.171074717030628	0.14978142251269988	-0.11284605379155938	False
8	4902	0.10382850503659434	0.07131720263548574	-0.107121599790137	False
2	4554	0.054728293289652695	0.029474065460339982	-0.281772932905031	False
5	3769	0.0022545793301158266	-0.03512746179946746	-0.12397905335531768	False
0	3349	-0.035821376533799985	-0.05949050802173039	0.03578686080694019	False
11	2804	-0.056074157011950565	-0.0750460529869253	0.02655303449834005	False
10	2300	-0.0691838478639879	-0.092885463978305	0.18920618696855745	False
