geo_accession	title	modality	library_name	source	tissue	cell_line	cell_type	treatment_geo	molecule	supplementary_type	supplementary_url	biosample	sra_experiment
GSM9574605	Tumor, irrelevant peptide treated (48h), RNA	GEX	Masopust_054_D_GEX	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Irrelevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574605/suppl/GSM9574605_Masopust_054_D_GEX_filtered_feature_bc_matrix.h5	SAMN56406508	SRX32430349
GSM9574606	Tumor, innate agonist treated (12h), RNA	GEX	Masopust_054_E_GEX	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Innate agonist	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574606/suppl/GSM9574606_Masopust_054_E_GEX_filtered_feature_bc_matrix.h5	SAMN56406507	SRX32430350
GSM9574607	Tumor, relevant peptide treated (12h), ADT	ADT	Masopust_054_A_ADT	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574607/suppl/GSM9574607_Masopust_054_A_ADT.csv.gz	SAMN56406506	SRX32430351
GSM9574608	Tumor, relevant peptide treated (48h), ADT	ADT	Masopust_054_B_ADT	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574608/suppl/GSM9574608_Masopust_054_B_ADT.csv.gz	SAMN56406505	SRX32430352
GSM9574609	Tumor, irrelevant peptide treated (12h), ADT	ADT	Masopust_054_C_ADT	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Irrelevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574609/suppl/GSM9574609_Masopust_054_C_ADT.csv.gz	SAMN56406504	SRX32430353
GSM9574610	Tumor, irrelevant peptide treated (48h), ADT	ADT	Masopust_054_D_ADT	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Irrelevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574610/suppl/GSM9574610_Masopust_054_D_ADT.csv.gz	SAMN56406503	SRX32430354
GSM9574611	Tumor, innate agonist treated (12h), ADT	ADT	Masopust_054_E_ADT	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Innate agonist	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574611/suppl/GSM9574611_Masopust_054_E_ADT.csv.gz	SAMN56406502	SRX32430357
GSM9574612	Tumor, relevant peptide treated (12h), HTO	HTO	Masopust_054_A_HTO	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574612/suppl/GSM9574612_Masopust_054_A_HTO.csv.gz	SAMN56406501	SRX32430356
GSM9574613	Tumor, relevant peptide treated (48h), HTO	HTO	Masopust_054_B_HTO	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574613/suppl/GSM9574613_Masopust_054_B_HTO.csv.gz	SAMN56406500	SRX32430355
GSM9574614	Tumor, irrelevant peptide treated (12h), HTO	HTO	Masopust_054_C_HTO	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Irrelevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574614/suppl/GSM9574614_Masopust_054_C_HTO.csv.gz	SAMN56406499	SRX32430360
GSM9574615	Tumor, irrelevant peptide treated (48h), HTO	HTO	Masopust_054_D_HTO	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Irrelevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574615/suppl/GSM9574615_Masopust_054_D_HTO.csv.gz	SAMN56406498	SRX32430358
GSM9574616	Tumor, innate agonist treated (12h), HTO	HTO	Masopust_054_E_HTO	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Innate agonist	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574616/suppl/GSM9574616_Masopust_054_E_HTO.csv.gz	SAMN56406497	SRX32430359
