candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
fibroblast → Lgals1 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4052359851182832	0.8232657900694536	False	False	False	True	True	False	False	True	interaction-supported	1.4052359851182832
NK → Pkm → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.4049862324580024	0.6847535425936403	False	False	False	True	True	False	False	True	interaction-supported	1.4049862324580025
fibroblast → Vim → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.40496700687396	0.9066728195048944	False	False	False	True	True	False	False	True	interaction-supported	1.40496700687396
monocyte_macrophage → Cd80 → Cd28 → CD8	extracellular	cell-cell / extracellular signal	0.404910423123521	0.0789973063854379	True	False	False	True	True	False	False	True	RNA-supported	1.404910423123521
dendritic → B2m → Cd3d → CD4	extracellular	cell-cell / extracellular signal	0.4047263008239179	0.6531992870498998	False	False	False	True	True	False	False	True	interaction-supported	1.404726300823918
T_cell → B2m → Cd247 → CD4	extracellular	cell-cell / extracellular signal	0.4044067507741864	0.8834635572544426	False	False	False	True	True	False	False	True	interaction-supported	1.4044067507741864
dendritic → Calr → Itgav → CD8	extracellular	cell-cell / extracellular signal	0.4042520623099341	0.8260881929912957	False	False	False	True	True	False	False	True	interaction-supported	1.4042520623099342
neutrophil → Tgm2 → Itga4 → CD8	extracellular	cell-cell / extracellular signal	0.4037816619849386	0.7982133996959528	False	False	False	True	True	False	False	True	interaction-supported	1.4037816619849386
monocyte_macrophage → B2m → Cd247 → CD8	extracellular	cell-cell / extracellular signal	0.4033817147480381	0.8424976288197876	False	False	False	True	True	False	False	True	interaction-supported	1.403381714748038
dendritic → B2m → Cd247 → CD4	extracellular	cell-cell / extracellular signal	0.4033301839434029	0.6531992870498998	False	False	False	True	True	False	False	True	interaction-supported	1.403330183943403
monocyte_macrophage → Thbs1 → Ptprj → CD4	extracellular	cell-cell / extracellular signal	0.4031219898500494	0.3855464858877909	False	False	False	True	True	False	True	True	interaction-supported	1.4031219898500493
fibroblast → Nid1 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4027045645613122	0.9657953045265132	False	False	False	True	True	False	False	True	interaction-supported	1.4027045645613123
NK → B2m → Klrd1 → CD8	extracellular	cell-cell / extracellular signal	0.402574579795575	0.8172766852801584	False	False	False	True	True	False	False	True	interaction-supported	1.402574579795575
NK → Calr → Itgav → CD8	extracellular	cell-cell / extracellular signal	0.40252386700065	0.1840833790977041	False	False	False	True	True	False	False	True	interaction-supported	1.40252386700065
B_cell → Lgals1 → Ptprc → CD8	extracellular	cell-cell / extracellular signal	0.4023608388669047	0.5879041139820904	False	False	False	True	True	False	False	True	interaction-supported	1.4023608388669047
fibroblast → Col6a3 → Cd44 → CD8	extracellular	cell-cell / extracellular signal	0.4022866578408126	0.2204844990670254	False	False	False	True	True	False	False	True	interaction-supported	1.4022866578408126
fibroblast → Col6a3 → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.4021809517897695	0.6445210002032886	False	False	False	True	True	False	False	True	interaction-supported	1.4021809517897694
melanoma → B2m → Cd247 → CD4	extracellular	cell-cell / extracellular signal	0.4019820287263942	0.0424102684208565	False	True	False	True	True	False	False	True	ADT-supported	1.4019820287263942
B_cell → Calr → Itgav → CD8	extracellular	cell-cell / extracellular signal	0.4017760238481676	0.7292017887799227	False	False	False	True	True	False	False	True	interaction-supported	1.4017760238481676
B_cell → Alcam → Cd6 → CD8	extracellular	cell-cell / extracellular signal	0.4016243940531246	0.7662257302139887	False	False	False	True	True	False	False	True	interaction-supported	1.4016243940531246
