candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
melanoma → Lama3 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.2032431351242786	0.8998337148341948	False	False	False	False	True	False	True	True	interaction-supported	1.2032431351242785
monocyte_macrophage → Ccl24 → Ccr2 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.2022109467818391	0.6272388128738406	False	False	False	False	True	False	True	True	interaction-supported	1.2022109467818392
dendritic → Col6a6 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.2017379453907408	0.8728532984020979	False	False	False	False	True	False	True	True	interaction-supported	1.2017379453907409
melanoma → Tnf → Ptprs → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.2016890941414087	0.4668394999187161	False	False	False	True	True	False	True	False	interaction-supported	1.2016890941414087
melanoma → Ntn1 → Dscam → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.2005159742857193	0.7423079637441454	False	False	False	False	False	False	True	True	interaction-supported	1.2005159742857192
NK → Lama4 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.2002355198415384	0.8592450612888846	False	False	False	False	True	False	True	True	interaction-supported	1.2002355198415384
NK → Lamc1 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.199731675502322	0.8488499536283357	False	False	False	False	True	False	True	True	interaction-supported	1.199731675502322
T_cell → Icosl → Ctla4 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1989495977171956	0.6272388128738406	False	False	False	False	True	False	True	True	interaction-supported	1.1989495977171956
dendritic → Mfge8 → Itgav → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.1967416479297574	0.807769611010994	False	False	False	False	True	False	True	True	interaction-supported	1.1967416479297575
NK → Lamb2 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.1964287610004902	0.8525626358660913	False	False	False	False	True	False	True	True	interaction-supported	1.1964287610004902
