candidate	statistical_status	biological_status	mechanistic_status	experimental_status	LOOCV_status	null_status	external_evidence_status	phase2_decision	decision_reason
NK → Thy1 → Itgax_Itgb2 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Ccl4 → Ccr8 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
Abtb2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Acsbg1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Adgre5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Adgre5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Aff1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Aff1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Aff3	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Alcam	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Apaf1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Arhgap18	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Arhgap31	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Atf3	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Atp10a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Bach2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Bhlhe40	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Bhlhe40	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Birc5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Birc5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Btg2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Btg2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ccl1	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ccl9	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ccr2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Ccr2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cdh23	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cdh23	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cdk6	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Clcn5	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cmah	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Coro2a	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
