candidate	candidate_family_id	n_mice_supporting	n_mice_opposing	direction_consistency	expected_direction	mouse_effect_median	mouse_effect_mean	mouse_effect_IQR	mouse_effect_sign	LOOCV_runs	LOOCV_failed_runs	LOOCV_top1_runs	LOOCV_top3_runs	LOOCV_top10_runs	LOOCV_top1_fraction	LOOCV_top10_fraction	LOOCV_top3_fraction	LOOCV_rank_median	LOOCV_rank_mean	LOOCV_rank_min	LOOCV_rank_max	LOOCV_rank_IQR	LOOCV_score_median	LOOCV_score_min	LOOCV_score_max	LOOCV_failure_reason	n_positive	n_negative	n_zero_or_undetermined	n_mice_effects	majority_direction	majority_direction_fraction	two_sided_direction_strength	n_mice
T_cell → Col18a1 → Itga3 → CD4	MULTI|T_cell|Col18a1	0	0		UNRESOLVED	2.0849990584546088e-05	0.0001389548906722	0.0004210945423723	positive	47	0	0	0	0	0.0	0.0	0.0	169.0	168.89361702127658	161.0	181.0	5.0	0.5888546673483851	0.5888546673483851	0.5924778557541822		26	20	1	47	positive	0.5531914893617021	0.1063829787234043	47
monocyte_macrophage → Cd38 → Pecam1 → CD8	MULTI|monocyte_macrophage|Cd38	0	0		UNRESOLVED	-0.0011808797742706	-0.005019555127875	0.0066176091858803	negative	45	0	0	0	0	0.0	0.0	0.0	219.0	218.9777777777778	215.0	223.0	4.0	0.5399034492237278	0.5399034492237278	0.5436913280116066		14	30	1	45	negative	0.6666666666666666	0.3333333333333332	45
melanoma → Adam9 → Itgb1 → CD8	MULTI|melanoma|Adam9	0	0		UNRESOLVED	-0.0001685420440213	0.0002722978886246	0.0023909823085252	negative	42	0	0	0	0	0.0	0.0	0.0	231.0	230.1190476190476	228.0	232.0	2.0	0.5286274342070795	0.5286274342070795	0.5326924748574859		15	26	1	42	negative	0.6190476190476191	0.2380952380952381	42
T_cell → Il10 → Cd70 → CD4	MULTI|T_cell|Il10	0	0		UNRESOLVED	-1.901857097662024e-05	-0.0001227322290676	0.0014128961100405	negative	47	0	0	0	0	0.0	0.0	0.0	254.0	252.10638297872345	244.0	258.0	7.5	0.5158038438638104	0.5158038438638104	0.5194270322696074		21	25	1	47	negative	0.5319148936170213	0.0638297872340425	47
NK → Spp1 → Itga4_Itgb1 → CD8	MULTI|NK|Spp1	0	0		UNRESOLVED	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	43	0	0	0	0	0.0	0.0	0.0	84.0	83.67441860465117	81.0	86.0	0.5	0.6245907550109892	0.6245907550109892	0.6285590089792431		12	30	1	43	negative	0.6976744186046512	0.3953488372093023	43
T_cell → Timp2 → Itgb1 → CD4	MULTI|T_cell|Timp2	0	0		UNRESOLVED	0.0002063089016065	0.0006727213670561	0.0012041715081559	positive	47	0	0	0	0	0.0	0.0	0.0	162.0	161.4468085106383	154.0	167.0	4.5	0.5924275499669648	0.5924275499669648	0.5960507383727619		28	18	1	47	positive	0.5957446808510638	0.1914893617021276	47
NK → Spp1 → Ptger4 → CD8	MULTI|NK|Spp1	0	0		UNRESOLVED	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	43	0	0	0	0	0.0	0.0	0.0	84.0	83.67441860465117	81.0	86.0	0.5	0.6245907550109892	0.6245907550109892	0.6285590089792431		12	30	1	43	negative	0.6976744186046512	0.3953488372093023	43
T_cell → Lamc1 → Itga1 → CD4	MULTI|T_cell|Lamc1	0	0		UNRESOLVED	0.0003708434577323	0.0032878392445278	0.0081471849608575	positive	47	0	0	0	0	0.0	0.0	0.0	96.0	94.87234042553192	89.0	99.0	5.0	0.6172531192261292	0.6172531192261292	0.6208763076319262		30	16	1	47	positive	0.6382978723404256	0.2765957446808511	47
melanoma → Adam9 → Itgav → CD8	MULTI|melanoma|Adam9	0	0		UNRESOLVED	-0.0001685420440213	0.0002722978886246	0.0023909823085252	negative	42	0	0	0	0	0.0	0.0	0.0	231.0	230.1190476190476	228.0	232.0	2.0	0.5286274342070795	0.5286274342070795	0.5326924748574859		15	26	1	42	negative	0.6190476190476191	0.2380952380952381	42
melanoma → Col4a4 → Cd47 → CD8	MULTI|melanoma|Col4a4	0	0		UNRESOLVED	-2.4548307397904267e-05	0.0005058721706588	0.0007559125022706	negative	42	0	0	0	0	0.0	0.0	0.0	190.0	188.0	175.0	193.0	7.0	0.5814925966697867	0.5814925966697867	0.5855576373201932		18	23	1	42	negative	0.5476190476190477	0.0952380952380953	42
