candidate	candidate_family_id	null_test_type	expected_direction	observed_statistic	observed_score	null_mean	null_sd	null_p95	null_p99	empirical_p	null_percentile	null_p95	null_p99	n_unique_null_scores	fraction_identical_to_observed	n_permutations	random_seed	null_status	null_model_type	empirical_FDR
neutrophil → Arf6 → Smap1 → CD8	LR|neutrophil|Arf6	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5303908380484926	0.5303908380484926	0.5204873292765628	0.009642577524888486	0.5391627678730541	0.5479346976976154	0.2547452547452547	0.905	0.5391627678730541	0.5479346976976154	6	0.159	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.4498349751514308
fibroblast → Il15 → Il15ra_Il2rb_Il2rg → CD4	LR|fibroblast|Il15	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6336859511566058	0.6336859511566058	0.6038575197840567	0.00892072690491701	0.6238820295879782	0.6287839903722919	0.007992007992007992	0.995	0.6238820295879782	0.6287839903722919	11	0.002	1000	17	PASS	within-candidate mouse-effect sign permutation	0.02654488368774083
neutrophil → Lamb3 → Itgav_Itgb8 → CD4	LR|neutrophil|Lamb3	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5797097100869358	0.5797097100869358	0.5869728679816728	0.009769646021197584	0.6060254995606201	0.614885148683427	1.0	0.534	0.6060254995606201	0.614885148683427	7	0.534	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
neutrophil → Vegfa → Itgb3 → CD8	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6052654355848447	0.6052654355848447	0.6041777162865991	0.009738912376714235	0.6228092952339676	0.6315812250585289	0.4975024975024975	0.756	0.6228092952339676	0.6315812250585289	7	0.253	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Fbn1 → Itgb3 → CD4	LR|fibroblast|Fbn1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5103834221704483	0.5103834221704483	0.5186873437390757	0.008099908391790736	0.534893226092017	0.5397951868763307	1.0	0.283	0.534893226092017	0.5397951868763307	10	0.283	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
fibroblast → Adam10 → Cd44 → CD8	LR|fibroblast|Adam10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5877759741392388	0.5877759741392388	0.5919083270804151	0.008232304254176571	0.6073838172764937	0.6171877388451211	0.7542457542457542	0.509	0.6073838172764937	0.6171877388451211	10	0.263	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8624367435842846
fibroblast → Lama4 → Itgav_Itgb8 → CD4	LR|fibroblast|Lama4	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5244278833135364	0.5244278833135364	0.5181533735096148	0.008018265384545989	0.5342318048821638	0.5391827852743206	0.27172827172827174	0.86	0.5342318048821638	0.5391827852743206	11	0.131	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.47680621265526923
fibroblast → Icam1 → Il2ra → CD8	LR|fibroblast|Icam1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5966963076047361	0.5966963076047361	0.6006423860361088	0.008593089717215795	0.6163041507419911	0.6261080723106185	0.7312687312687313	0.52	0.6163041507419911	0.6261080723106185	10	0.251	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
neutrophil → Vegfa → Itgb3 → CD4	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6062710620779285	0.6062710620779285	0.6054289568147705	0.009826065047841273	0.6238149217270513	0.6325868515516127	0.5074925074925075	0.74	0.6238149217270513	0.6325868515516127	7	0.247	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6789703187807453
fibroblast → Hspg2 → Ptprs → CD8	LR|fibroblast|Hspg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5385058464124429	0.5385058464124429	0.5179470228830312	0.008034378027952167	0.5336038856281292	0.5434078071967566	0.027972027972027972	0.989	0.5336038856281292	0.5434078071967566	9	0.016	1000	17	PASS	within-candidate mouse-effect sign permutation	0.07432567432567433
fibroblast → Col1a2 → Itga1_Itgb1 → CD4	LR|fibroblast|Col1a2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5854942036472301	0.5854942036472301	0.5891902820786029	0.008364250605813264	0.6051020467844851	0.6149059683531125	0.7192807192807192	0.522	0.6051020467844851	0.6149059683531125	10	0.241	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
fibroblast → Col6a2 → Itga1_Itgb1 → CD8	LR|fibroblast|Col6a2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5975690799865113	0.5975690799865113	0.5873533937120017	0.008843854585922767	0.6024710407708251	0.6122749623394526	0.20279720279720279	0.909	0.6024710407708251	0.6122749623394526	10	0.111	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.369806663924311
fibroblast → Adam10 → Tspan5 → CD8	LR|fibroblast|Adam10	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.521109307472572	0.521109307472572	0.5252367584529641	0.008704308946320087	0.5407171506098271	0.5505210721784545	0.7212787212787213	0.517	0.5407171506098271	0.5505210721784545	10	0.238	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
fibroblast → Ccl11 → Cxcr3 → CD4	LR|fibroblast|Ccl11	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6126631774311835	0.6126631774311835	0.6022465107645167	0.00833531550820362	0.6175651382154972	0.6273690597841246	0.15984015984015984	0.915	0.6175651382154972	0.6273690597841246	9	0.074	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.3228354379433516
fibroblast → Ccl11 → Ccr2 → CD4	LR|fibroblast|Ccl11	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6126631774311835	0.6126631774311835	0.6019278833135363	0.008146551504933243	0.6175651382154972	0.622516118607654	0.16283716283716285	0.929	0.6175651382154972	0.622516118607654	10	0.091	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.3245112030826317
fibroblast → Lama4 → Itga6_Itgb1 → CD4	LR|fibroblast|Lama4	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5244278833135364	0.5244278833135364	0.5185357264507914	0.008174959892415287	0.5342318048821638	0.5440357264507912	0.2947052947052947	0.841	0.5342318048821638	0.5440357264507912	10	0.135	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.4983198619562256
neutrophil → Lamb3 → Itga6_Itgb1 → CD4	LR|neutrophil|Lamb3	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5797097100869358	0.5797097100869358	0.586806201315006	0.00949850144504105	0.6060254995606201	0.6147974293851814	1.0	0.529	0.6060254995606201	0.6147974293851814	6	0.529	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
neutrophil → Pdcd1lg2 → Pdcd1 → CD4	LR|neutrophil|Pdcd1lg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.629510743791364	0.629510743791364	0.610747585896627	0.009727271256327899	0.629510743791364	0.6382826736159254	0.08891108891108891	0.97	0.629510743791364	0.6382826736159254	7	0.058	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.19844955044955045
neutrophil → Pdcd1lg2 → Pdcd1 → CD8	LR|neutrophil|Pdcd1lg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6056327201777819	0.6056327201777819	0.6050888605286591	0.010497607049722853	0.6231765798269047	0.6407204394760275	0.5024975024975025	0.734	0.6231765798269047	0.6407204394760275	8	0.236	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Col1a2 → Itgav_Itgb8 → CD4	LR|fibroblast|Col1a2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5854942036472301	0.5854942036472301	0.5900138114903675	0.00880978777443174	0.6051020467844851	0.6149059683531125	0.7312687312687313	0.489	0.6051020467844851	0.6149059683531125	11	0.22	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
neutrophil → Vegfa → Nrp1 → CD8	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6052654355848447	0.6052654355848447	0.6042829794444938	0.010106603224986487	0.6228092952339676	0.6403531548830903	0.48951048951048953	0.753	0.6228092952339676	0.6403531548830903	7	0.242	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Hspg2 → Ptprs → CD4	LR|fibroblast|Hspg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5268865378109545	0.5268865378109545	0.5207786946736994	0.008178321838671185	0.5366904593795819	0.5464943809482093	0.2907092907092907	0.841	0.5366904593795819	0.5464943809482093	10	0.131	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.4983198619562256
