leiden_harmony	score_T_cell	score_NK	score_B_cell	score_monocyte_macrophage	score_dendritic	score_neutrophil	score_melanoma	score_endothelial	score_fibroblast	provisional_cell_type	manual_review_required
0	0.5570236605405807	0.0028258823108353037	-0.32198572397232056	-0.20018014987309773	-0.045889915227890016	-0.035592301471813304	-0.5096614533662795	-0.08058674693107605	-0.08447382887204488	T_cell	True
1	-0.7283623826503753	1.1855135114000948	-0.3076168487469355	-0.2430022617181142	-0.046568548679351805	-0.04207639436464052	-0.5429054403305054	-0.0826993453502655	-0.09154272079467773	NK	True
2	-1.011804382801056	0.10252801643922027	0.3178662101427714	1.0779389981428782	-0.052968735694885256	0.0	-0.5046599853038788	-0.10089933514595031	-0.09398124734560649	monocyte_macrophage	True
3	-0.9917064553499222	-0.5037556620964768	-0.49509597539901734	-0.27710752805074057	-0.096289222240448	-0.0824322442750673	2.2264202493429184	-0.13221303671598433	-0.163281888961792	melanoma	True
4	0.22512907862663267	-0.3710752361572829	-0.31868419378995894	-0.20934680819511414	-0.04273573309183121	-0.03458931881028253	-0.46042698085308076	-0.041618660390377045	-0.08504022121429444	T_cell	True
5	0.5734943154454232	-0.13511961958552368	-0.38657808557152745	-0.24222911953926085	-0.04951233804225921	-0.044497993749541206	-0.5856554338335991	-0.10159133128821851	-0.09922653039296468	T_cell	True
6	-0.5510260200500489	-0.24333730960052286	-0.2431296960512797	-0.09787901322046916	-0.030145463943481447	-0.023775822407490498	1.1836590540409087	-0.052968807220458984	-0.047687394618988035	melanoma	True
7	0.35556694686412804	-0.18745580275586787	-0.431464581489563	-0.2816710607210795	-0.06332721412181855	-0.0766851773133149	-0.7251039835810661	-0.11305429637432099	-0.14200461506843567	T_cell	True
8	-1.0862308810651302	-0.5917811141468134	-0.5708759760608275	-0.3608646196126938	-0.1124791518971324	-0.08966924446458752	2.1000209021940828	-0.1619108060002327	-0.208961120210588	melanoma	True
9	0.14808016538620006	-0.4779052686371259	-0.15920949896176662	-0.24602348407109578	-0.047884407043457033	-0.04693189343890628	-0.5374288463592529	-0.06966020107269287	-0.10000726699829102	T_cell	True
10	-0.9608238101005554	-0.011993234389580332	0.0071219845612844335	1.068328582048416	-0.07514345049858093	-0.026212745421641582	-0.5430784893035888	-0.09946701407432557	-0.10964112917582194	monocyte_macrophage	True
11	-0.7972916984558105	-0.41839946498906855	-0.4216255979736646	-0.2637179111937682	-0.10288809895515443	-0.09203765198991105	-0.5116266672313213	-0.12409463565796613	2.9956331970294316	fibroblast	True
12	0.2621252012252807	-0.13774866215734674	-0.3429462411006292	-0.21663386066754658	-0.04747293561697006	-0.03994104346713504	-0.5401857954263687	-0.05467847228050232	-0.09251889387766521	T_cell	True
13	-0.31457807779312136	-0.0671920844372487	-0.06931868433952332	-0.03209428906440735	-0.009864811897277831	-0.009454249530225188	0.1566156613826752	-0.02949295997619629	-0.01380789597829183	melanoma	True
14	-1.1239976644515992	0.29378429015210816	0.6680552927652994	0.03823741197586061	0.16797482639551162	-0.04699461363457345	-0.6074616992473603	-0.08874611139297485	-0.09730841875076295	B_cell	True
15	-1.1915364241600037	0.16480918298631708	0.7047590514024099	-0.09626677036285403	0.8765187510848045	-0.04987073246691678	-0.700017451941967	-0.10679219245910644	-0.1020241888364156	dendritic	True
16	-1.026891759634018	0.03347538601632083	0.4612771364053091	-0.2044658386707306	0.5896187025308609	-0.03938086471847586	-0.6092630994319915	-0.10634488075971603	-0.0999173386891683	dendritic	True
